duplicate_candidate_key,duplicate_candidate_count,duplicate_candidate_rank,source_row_number,offre_id,titre_poste,employeur,ville_region_raw,secteur_activite_raw,etl_completeness_score
6f12895c03a824d752c5,207,1,17,OFFRE_000017_a380a5f3d501,Vendeur en magasin,Non précisé,Limbe / Buea,Commerce / Vente,0.75
84b3a44add9ca0466da3,207,1,18,OFFRE_000018_04777b7ef19e,Cuisinier Domestique,Non précisé,Limbe / Buea,Services / Sécurité,1.0
f005fd4db9d8ea5358d6,207,1,19,OFFRE_000019_45e5c3277bbb,Employé de Ménage,Non précisé,Limbe / Buea,Services / Sécurité,0.75
b8422418f75683615598,206,1,20,OFFRE_000020_8ed6522f59cb,Cadre comptable,Non précisé,Limbe / Buea,Finance / Comptabilité,1.0
05b9077590cb0833ed8a,206,1,21,OFFRE_000021_efd1c30b2e8e,Cadre administratif,Non précisé,,Administration / RH,0.875
f1e755172099e42005e8,206,1,22,OFFRE_000022_92f85fc08b11,"Cadre Sécurité, Hygiène et Environnement",Non précisé,Ngousso,Services / Sécurité,1.0
340d8b5317eee956c3d7,412,1,23,OFFRE_000023_3eb75a636c1b,Enseignant du Secondaire,Non précisé,Kribi,Éducation / Formation,0.875
340d8b5317eee956c3d7,412,2,24,OFFRE_000024_e99033571d89,Enseignant du Secondaire,Non précisé,Kribi,Éducation / Formation,0.875
a872b4975e7aeb22c040,207,1,25,OFFRE_000025_5c5917aa0b86,Gestionnaire des ressources humaines,Non précisé,Yaoundé,Administration / RH,1.0
d0f7b6caba540fdebf41,208,1,26,OFFRE_000026_6c3b292c80d3,Scieur,Non précisé,Yaoundé (Ekoumdoum),Industrie / Maintenance,0.75
cf03f4912425c0ffef8b,206,1,27,OFFRE_000027_f9bac18de42a,Agent d'entretien,Non précisé,Yaoundé (Ekoumdoum),Services / Sécurité,0.75
6f12895c03a824d752c5,207,2,28,OFFRE_000028_83ad469d1bff,Vendeur en magasin,Non précisé,Limbe / Buea,Commerce / Vente,0.75
84b3a44add9ca0466da3,207,2,29,OFFRE_000029_4b66f35d080d,Cuisinier Domestique,Non précisé,Limbe / Buea,Services / Sécurité,1.0
f005fd4db9d8ea5358d6,207,2,30,OFFRE_000030_2fe157321e33,Employé de Ménage,Non précisé,Limbe / Buea,Services / Sécurité,0.75
b8422418f75683615598,206,2,31,OFFRE_000031_48078f55651e,Cadre comptable,Non précisé,Limbe / Buea,Finance / Comptabilité,1.0
05b9077590cb0833ed8a,206,2,32,OFFRE_000032_2b9b98cef432,Cadre administratif,Non précisé,,Administration / RH,0.875
f1e755172099e42005e8,206,2,33,OFFRE_000033_173a3e335357,"Cadre Sécurité, Hygiène et Environnement",Non précisé,Ngousso,Services / Sécurité,1.0
a872b4975e7aeb22c040,207,2,34,OFFRE_000034_6d978851b11d,Gestionnaire des ressources humaines,Non précisé,Yaoundé,Administration / RH,1.0
d0f7b6caba540fdebf41,208,2,35,OFFRE_000035_9ece0df13907,Scieur,Non précisé,Yaoundé (Ekoumdoum),Industrie / Maintenance,0.75
cf03f4912425c0ffef8b,206,2,36,OFFRE_000036_7649d5d5951c,Agent d'entretien,Non précisé,Yaoundé (Ekoumdoum),Services / Sécurité,0.75
6f12895c03a824d752c5,207,3,37,OFFRE_000037_a2eb55ad557b,Vendeur en magasin,Non précisé,Limbe / Buea,Commerce / Vente,0.75
84b3a44add9ca0466da3,207,3,38,OFFRE_000038_d2f58739bc1f,Cuisinier Domestique,Non précisé,Limbe / Buea,Services / Sécurité,1.0
f005fd4db9d8ea5358d6,207,3,39,OFFRE_000039_b9343917c565,Employé de Ménage,Non précisé,Limbe / Buea,Services / Sécurité,0.75
b8422418f75683615598,206,3,40,OFFRE_000040_843b9d176044,Cadre comptable,Non précisé,Limbe / Buea,Finance / Comptabilité,1.0
05b9077590cb0833ed8a,206,3,41,OFFRE_000041_fb9953804adb,Cadre administratif,Non précisé,,Administration / RH,0.875
f1e755172099e42005e8,206,3,42,OFFRE_000042_a0f0c93124b0,"Cadre Sécurité, Hygiène et Environnement",Non précisé,Ngousso,Services / Sécurité,1.0
