matricule_raw,matricule_duplicate_count,matricule_duplicate_rank,source_row_number,candidat_id,age,genre,diplome_raw,metier_vise,secteur_demande
PPPNR2501210017849,2,1,2724,PPPNR2501210017849__OCC01,33,Homme,Brevet d'Etude Technique (BET),Opérateur de production,
PPPNR2501210017849,2,2,2725,PPPNR2501210017849__OCC02,37,Homme,Licence,Opérateur de production,
PPPNR2502050019479,2,1,4682,PPPNR2502050019479__OCC01,32,Homme,Certificat d'Études Primaires Élémentaires (CEPE),Homme de pont,
PPPNR2502050019479,2,2,4683,PPPNR2502050019479__OCC02,48,Homme,Brevet d'Etude Technique (BET),Homme de pont,
PPBZV2503170023123,2,1,7689,PPBZV2503170023123__OCC01,28,Femme,Pas de diplôme,Ressource Humaine,
PPBZV2503170023123,2,2,7702,PPBZV2503170023123__OCC02,24,Homme,Licence,Ressource Humaine,
PPPNR2504230026607,2,1,10859,PPPNR2504230026607__OCC01,38,Homme,Brevet d'Études du Premier Cycle (BEPC),Tuyauteur/Chaudronnier,
PPPNR2504230026607,2,2,10860,PPPNR2504230026607__OCC02,37,Homme,Pas de diplôme,Tuyauteur/Chaudronnier,
PPBZV2507300037236,2,1,20423,PPBZV2507300037236__OCC01,20,Homme,Pas de diplôme,bachelier,
PPBZV2507300037236,2,2,20424,PPBZV2507300037236__OCC02,23,Homme,Pas de diplôme,bachelier,
PPPNR2507300037153,2,1,21305,PPPNR2507300037153__OCC01,30,Homme,Certificat d'Aptitude Professionnelle (CAP),Tuyauterie,
PPPNR2507300037153,2,2,21306,PPPNR2507300037153__OCC02,23,Femme,BAC Technique,Tuyauterie,
PPPNR2508140038634,2,1,23442,PPPNR2508140038634__OCC01,31,Homme,Certificat de Qualification Professionnelle,Inspecteur CND,
PPPNR2508140038634,2,2,23443,PPPNR2508140038634__OCC02,38,Femme,Pas de diplôme,Inspecteur CND,
PPPNR2508280039962,2,1,24164,PPPNR2508280039962__OCC01,57,Homme,BTSA,Plombier,
PPPNR2508280039962,2,2,24165,PPPNR2508280039962__OCC02,33,Femme,Pas de diplôme,Plombier,
PPPNR2511270052884,2,1,37097,PPPNR2511270052884__OCC01,22,Femme,Bac +3,Comptable,
PPPNR2511270052884,2,2,37098,PPPNR2511270052884__OCC02,36,Homme,Pas de diplôme,Comptable,
PPBZV2512010053283,2,1,37968,PPBZV2512010053283__OCC01,32,Femme,La licence,BANQUE ET FINANACE,
PPBZV2512010053283,2,2,37969,PPBZV2512010053283__OCC02,22,Femme,Bac série A,Etudiante,
PPBZV2512100054767,2,1,38751,PPBZV2512100054767__OCC01,22,Femme,BTS,Technicien Fibre Optique,
PPBZV2512100054767,2,2,38752,PPBZV2512100054767__OCC02,27,Homme,Brevet de Technicien Superieur (BTS),Informaticien,
PPPNR2512100054714,2,1,40288,PPPNR2512100054714__OCC01,35,Homme,CEPE,chauffeur de poid lourd,
PPPNR2512100054714,2,2,40289,PPPNR2512100054714__OCC02,29,Homme,Licence professionnelle en maintenance industrielle,TECHNICIEN PRODUCTION,
PPPNR2512100054773,2,1,40321,PPPNR2512100054773__OCC01,28,Femme,BAC,Infographiste,
PPPNR2512100054773,2,2,40322,PPPNR2512100054773__OCC02,25,Homme,LICENCE,Economiste,
