dataset,colonne,dtype,non_nuls,manquants,taux_remplissage,uniques
candidats_processed,candidat_id,str,41298,0,100.0,41298
candidats_processed,matricule_raw,str,41298,0,100.0,41285
candidats_processed,source_row_number,int64,41298,0,100.0,41298
candidats_processed,age,int64,41298,0,100.0,58
candidats_processed,genre,str,41298,0,100.0,2
candidats_processed,diplome_raw,str,41298,0,100.0,529
candidats_processed,ncf_niveau_final,Int64,41254,44,99.89,8
candidats_processed,ncf_code_niveau_etude,Int64,41155,143,99.65,7
candidats_processed,ncf_code_diplome,Int64,32787,8511,79.39,8
candidats_processed,niveau_etude_raw,str,41298,0,100.0,9
candidats_processed,qualification_declaree,str,41288,10,99.98,1365
candidats_processed,qualification_metier,str,41297,1,100.0,1011
candidats_processed,secteur_metier,str,41298,0,100.0,31
candidats_processed,secteur_activite_cand,str,37314,3984,90.35,86
candidats_processed,filiere_specialite,str,41298,0,100.0,341
candidats_processed,secteur_demande,str,3886,37412,9.41,97
candidats_processed,metier_vise,str,41298,0,100.0,1367
candidats_processed,objectif,str,41298,0,100.0,3
candidats_processed,mobilite_geo_bool,object,3886,37412,9.41,2
candidats_processed,mobilite_geo_villes,object,41298,0,100.0,1
candidats_processed,mobilite_geo_raw,str,3886,37412,9.41,2
candidats_processed,matricule_duplicate_count,int64,41298,0,100.0,2
candidats_processed,matricule_duplicate_rank,int64,41298,0,100.0,2
candidats_processed,is_matricule_duplicate,bool,41298,0,100.0,2
candidats_processed,text_to_embed,str,41298,0,100.0,14494
