dataset,colonne,dtype,non_nuls,manquants,taux_remplissage,uniques
offres_processed,offre_id,str,13957,0,100.0,13957
offres_processed,source_row_number,int64,13957,0,100.0,13957
offres_processed,source,str,13957,0,100.0,6
offres_processed,titre_poste,str,13957,0,100.0,8705
offres_processed,employeur,str,13935,22,99.84,1638
offres_processed,type_entreprise_norm,str,13957,0,100.0,3
offres_processed,pays,str,13957,0,100.0,3
offres_processed,ville_principale,str,13715,242,98.27,312
offres_processed,villes_list,object,13957,0,100.0,480
offres_processed,secteur_principal,str,13957,0,100.0,192
offres_processed,secteurs_list,object,13957,0,100.0,1028
offres_processed,groupe_contrat_norm,str,3169,10788,22.71,4
offres_processed,type_contrat_norm,str,13957,0,100.0,27
offres_processed,ncf_niveau_code,Int64,5529,8428,39.61,7
offres_processed,niveau_etudes_raw,str,12499,1458,89.55,11
offres_processed,experience_min_ans,Int64,5212,8745,37.34,5
offres_processed,niveau_experience_raw,str,13957,0,100.0,24
offres_processed,skills_list,object,13957,0,100.0,1400
offres_processed,skills_raw,str,12862,1095,92.15,1403
offres_processed,details_clean,str,13957,0,100.0,5172
offres_processed,details_truncated,str,13957,0,100.0,5168
offres_processed,details_raw,str,8227,5730,58.95,5171
offres_processed,lien_reference,str,13957,0,100.0,8485
offres_processed,groupe_contrat_raw,str,13957,0,100.0,11
offres_processed,type_contrat_raw,str,13957,0,100.0,29
offres_processed,secteur_activite_raw,str,13957,0,100.0,1181
offres_processed,ville_region_raw,str,13715,242,98.27,514
offres_processed,type_entreprise_raw,str,13957,0,100.0,6
offres_processed,duplicate_candidate_key,str,13957,0,100.0,10978
offres_processed,duplicate_candidate_count,int64,13957,0,100.0,19
offres_processed,duplicate_candidate_rank,int64,13957,0,100.0,207
offres_processed,is_duplicate_candidate,bool,13957,0,100.0,2
offres_processed,etl_completeness_score,float64,13957,0,100.0,3
offres_processed,text_to_embed,str,13957,0,100.0,6049
offres_processed,metadata_str,str,13957,0,100.0,9941
offres_processed,pair_query_text,str,13957,0,100.0,10199
offres_processed,pair_details_text,str,13957,0,100.0,5168
offres_processed,ft_eligible,bool,13957,0,100.0,2
