number,value,params_w_neo4j,params_w_semantique,state
0,0.6581694271911663,0.9507635921035062,0.37516557872851514,COMPLETE
1,0.6581694271911663,0.5990598257128396,0.7322619478695936,COMPLETE
2,0.6581694271911663,0.15683852581586644,0.1568626218019941,COMPLETE
3,0.6581694271911663,0.8663099696291603,0.05902552855603126,COMPLETE
4,0.6581694271911663,0.7083645052182495,0.6015138967314656,COMPLETE
5,0.6581694271911663,0.9699399423098324,0.021563909801506645,COMPLETE
6,0.6464544513457557,0.21312677156759788,0.8326101981596213,COMPLETE
7,0.6581694271911663,0.18422110534358038,0.18264314223989353,COMPLETE
8,0.6581694271911663,0.5252316752006057,0.3049380007165782,COMPLETE
9,0.6581694271911663,0.2919379110578439,0.43251307362347363,COMPLETE
10,0.6043737060041408,0.006991185772861619,0.9515809709040819,COMPLETE
11,0.6581694271911663,0.6029507042739705,0.5868294140639934,COMPLETE
12,0.6581694271911663,0.7872505212952288,0.7154544425845987,COMPLETE
13,0.6581694271911663,0.42832807970925024,0.4233285736944551,COMPLETE
14,0.6581694271911663,0.9903134258378155,0.5480106828293336,COMPLETE
15,0.6581694271911663,0.6792533150555775,0.9887718644024006,COMPLETE
16,0.658531746031746,0.434921915484655,0.7564754934438936,COMPLETE
17,0.6581694271911663,0.3189679638746833,0.343173477744019,COMPLETE
18,0.658531746031746,0.4358920608259812,0.8396892019508535,COMPLETE
19,0.6555124223602484,0.39578390751780995,0.8360559882365922,COMPLETE
20,0.658531746031746,0.467606953352093,0.8657822650304803,COMPLETE
21,0.658531746031746,0.47061641826471856,0.8293697490766454,COMPLETE
22,0.6581694271911663,0.5157230299827542,0.7014614327983661,COMPLETE
23,0.6555124223602484,0.34345648897805026,0.9162699408985847,COMPLETE
24,0.6581694271911663,0.5439984233326703,0.7633900681414522,COMPLETE
25,0.6555124223602484,0.41750768371917313,0.9015580382816736,COMPLETE
26,0.6555124223602484,0.2574549607182267,0.659709968980945,COMPLETE
27,0.6416235334713596,0.11286414088114649,0.8097693394347611,COMPLETE
28,0.6555124223602484,0.36531459937440725,0.8914044384072595,COMPLETE
29,0.6581694271911663,0.6238432390755408,0.6344552732854152,COMPLETE
30,0.6555124223602484,0.4940607716099097,0.9992241055653002,COMPLETE
31,0.6581694271911663,0.46920555276651954,0.7897755053485275,COMPLETE
32,0.6581694271911663,0.4561823309919334,0.5152647345088497,COMPLETE
33,0.6555124223602484,0.3746596914263748,0.8635165114041615,COMPLETE
34,0.6581694271911663,0.5744748308035998,0.7480772392689998,COMPLETE
35,0.6581694271911663,0.6635623888803861,0.6767146264152027,COMPLETE
36,0.6555124223602484,0.27612200976591184,0.770393042055518,COMPLETE
37,0.6581694271911663,0.827959472198083,0.9252455020791219,COMPLETE
38,0.6581694271911663,0.7231970577564475,0.840827243093831,COMPLETE
39,0.6581694271911663,0.47091449413354297,0.7286136556490151,COMPLETE
40,0.6581694271911663,0.5585853567804707,0.8681416629173081,COMPLETE
41,0.6581694271911663,0.09876698395794564,0.07679729604398128,COMPLETE
42,0.6581694271911663,0.9318850033268536,0.23182660870177857,COMPLETE
43,0.6581694271911663,0.9193478535239427,0.5035037029709417,COMPLETE
44,0.6464544513457557,0.23883752377045997,0.9511507327787118,COMPLETE
45,0.6581694271911663,0.7616797644448805,0.60683124356895,COMPLETE
46,0.6581694271911663,0.3099151636951406,0.11583287191915492,COMPLETE
47,0.6581694271911663,0.637182470859161,0.3944088283639063,COMPLETE
48,0.6581694271911663,0.17562267188236813,0.24550578340894197,COMPLETE
49,0.6555124223602484,0.4162664577766519,0.9520779762460366,COMPLETE
50,0.6581694271911663,0.5122905876065925,0.8169788166834214,COMPLETE
51,0.6581694271911663,0.5903384383108436,0.7812031653387884,COMPLETE
52,0.6581694271911663,0.8730932788866375,0.6966828108980504,COMPLETE
53,0.658531746031746,0.44793241598719513,0.8568086569647022,COMPLETE
54,0.6591356107660455,0.4410275126596755,0.8619833590634147,COMPLETE
55,0.658531746031746,0.44687117961426953,0.8629274474917671,COMPLETE
56,0.6555124223602484,0.35510337152208515,0.8162670002422997,COMPLETE
57,0.6555124223602484,0.39825298089902805,0.8868415220115756,COMPLETE
58,0.658531746031746,0.5005316804012899,0.9450683810323586,COMPLETE
59,0.6555124223602484,0.3301506402437001,0.7331631257773418,COMPLETE
60,0.6581694271911663,0.5316952716791502,0.8373582004904631,COMPLETE
61,0.6555124223602484,0.44100403676884087,0.8742774892012768,COMPLETE
62,0.6581694271911663,0.468114410946697,0.7948861926746785,COMPLETE
63,0.6555124223602484,0.39102817453155464,0.8547421601045492,COMPLETE
64,0.6555124223602484,0.4257505861361964,0.9147709569583029,COMPLETE
65,0.6555124223602484,0.49153504087122324,0.9815261963276342,COMPLETE
66,0.6581694271911663,0.547551541188768,0.7573931937468944,COMPLETE
67,0.6555124223602484,0.3696419125601166,0.8000101354085151,COMPLETE
68,0.6591356107660455,0.4569845933878033,0.8928655615996561,COMPLETE
69,0.6555124223602484,0.29800039671033574,0.9034294889754801,COMPLETE
70,0.6581694271911663,0.41098658972659713,0.6492289106794548,COMPLETE
71,0.658531746031746,0.4425537261761267,0.8440069197603871,COMPLETE
72,0.658531746031746,0.4792746606950107,0.8774515410417938,COMPLETE
73,0.658531746031746,0.4458410485010081,0.8162685248988854,COMPLETE
74,0.658531746031746,0.5122948677223386,0.9272485587152395,COMPLETE
75,0.6555124223602484,0.3841376932019428,0.975793120872513,COMPLETE
76,0.6581694271911663,0.574004924521602,0.7803447535549541,COMPLETE
77,0.6555124223602484,0.33476368414283275,0.7414150386612622,COMPLETE
78,0.6581694271911663,0.5326093847573091,0.706201757805625,COMPLETE
79,0.658531746031746,0.45895644311640266,0.8379479156402795,COMPLETE
80,0.6581694271911663,0.6178207823662522,0.9070097078376596,COMPLETE
81,0.658531746031746,0.500980886257102,0.9537906177193605,COMPLETE
82,0.6555124223602484,0.4238273171995588,0.9476623857011726,COMPLETE
83,0.658531746031746,0.4853340817878535,0.8626941656636135,COMPLETE
84,0.6581694271911663,0.5664883416789634,0.9290579131614944,COMPLETE
85,0.6591356107660455,0.45101224627431336,0.8818972677343859,COMPLETE
86,0.6555124223602484,0.360989594584021,0.8927884689420323,COMPLETE
87,0.6555124223602484,0.40802070990819284,0.826354629994208,COMPLETE
88,0.6581694271911663,0.46539199209169935,0.7665068760415181,COMPLETE
89,0.6591356107660455,0.43893670496178444,0.8583151490603481,COMPLETE
90,0.6555124223602484,0.379389481034802,0.7957691465134493,COMPLETE
91,0.6555124223602484,0.43136301708390445,0.863354012789347,COMPLETE
92,0.6591356107660455,0.45723850779719316,0.8970112072013791,COMPLETE
93,0.658531746031746,0.4809658181735533,0.8919219290702004,COMPLETE
94,0.6555124223602484,0.4008475384430461,0.8296756758060905,COMPLETE
95,0.6581694271911663,0.5249030511099742,0.8827459911874402,COMPLETE
96,0.6555124223602484,0.4541402159489733,0.9741098763034648,COMPLETE
97,0.6555124223602484,0.34738943713881026,0.9189451185374139,COMPLETE
98,0.6581694271911663,0.5463122824910285,0.856450960210349,COMPLETE
99,0.6581694271911663,0.5920882012429411,0.8069486443484903,COMPLETE
100,0.6581694271911663,0.5068579900594521,0.7743372827874834,COMPLETE
101,0.6591356107660455,0.43193150053598783,0.8485609696721828,COMPLETE
102,0.6555124223602484,0.42405715472881067,0.8465383371878114,COMPLETE
103,0.6555124223602484,0.3893927948484028,0.8978555153689478,COMPLETE
104,0.658531746031746,0.4720472549369718,0.8213041608984093,COMPLETE
105,0.6555124223602484,0.4382409107641264,0.8753883313892111,COMPLETE
106,0.6581694271911663,0.49238519340058257,0.7231697013758251,COMPLETE
107,0.6555124223602484,0.40630280130947066,0.9360976995642032,COMPLETE
108,0.6581694271911663,0.4536014520653003,0.7591549606872301,COMPLETE
109,0.6555124223602484,0.3252435765541981,0.7916307102126957,COMPLETE
110,0.6581694271911663,0.5275421889585723,0.6788632826922001,COMPLETE
111,0.658531746031746,0.44095060171994016,0.8496087870888476,COMPLETE
112,0.6555124223602484,0.3742226431717613,0.9155522475142942,COMPLETE
113,0.658531746031746,0.46275705156936964,0.8107640909962096,COMPLETE
114,0.6555124223602484,0.42253612481997654,0.8722936026353331,COMPLETE
115,0.6581694271911663,0.5041211233717907,0.8347682614138503,COMPLETE
116,0.6555124223602484,0.48132795665032113,0.9596254564988563,COMPLETE
117,0.6555124223602484,0.35290870950865466,0.9977153079253476,COMPLETE
118,0.6555124223602484,0.403283426148938,0.8957423915519593,COMPLETE
119,0.658531746031746,0.44555745460884283,0.8546143095533993,COMPLETE
120,0.6555124223602484,0.425832508303033,0.874134078851336,COMPLETE
121,0.658531746031746,0.49731631749443866,0.9389840289098097,COMPLETE
122,0.658531746031746,0.5172583182672393,0.910054544216864,COMPLETE
123,0.6555124223602484,0.4699331283883331,0.9731951531904633,COMPLETE
