candidat_id,offre_id,titre,proxy_relevance,score_sem,score_hybride,taux_match,verdict_recrutement,rank_pgvector,rank_graph,rank_shift,relevance,binary_relevance,score_hybride_optuna,rank_optuna,top10_optuna
PPBZV2505170028860,OFFRE_009950_d9e7d5781e7d,Commercial H/F,0.46,0.5271,0.4595,0.0,vivier_a_developper,1,1,0,0.46,0,0.34869350549738354,1,True
PPBZV2505170028860,OFFRE_009812_efb216206984,Business Developer,0.46,0.5092,0.4532,0.0,vivier_a_developper,2,2,0,0.46,0,0.33685208309479736,2,True
PPBZV2505170028860,OFFRE_010267_b69696d658f0,DIRECTEUR COMMERCIAL (F/H) - DOUALA,0.505,0.4886,0.446,0.0,vivier_a_developper,4,3,1,0.505,1,0.3232245243521563,3,True
PPBZV2505170028860,OFFRE_010012_d63db9b43788,DIRECTEUR COMMERCIAL (F/H) - DOUALA,0.505,0.4886,0.446,0.0,vivier_a_developper,5,4,1,0.505,1,0.3232245243521563,4,True
PPBZV2505170028860,OFFRE_010313_0f67cf45444b,SUPERVISEUR COMMERCIAL (VAN TEAM COORDINATOR),0.505,0.4833,0.4442,0.0,vivier_a_developper,6,5,1,0.505,1,0.31971840486982633,5,True
PPBZV2505170028860,OFFRE_010824_b354a45670d4,Chef d'Equipe,0.415,0.4734,0.4407,0.0,vivier_a_developper,7,6,1,0.415,0,0.31316923828962506,6,True
PPBZV2505170028860,OFFRE_010094_144477a0f33f,Commercial Sédentaire Transport,0.46,0.4727,0.4404,0.0,vivier_a_developper,8,7,1,0.46,0,0.3127061659051664,7,True
PPBZV2505170028860,OFFRE_009710_a04b66506c85,Commercial Transport,0.415,0.4651,0.4378,0.0,vivier_a_developper,9,8,1,0.415,0,0.3076785228739008,8,True
PPBZV2505170028860,OFFRE_008561_fc7a817a2893,"Commercial Transport - Yaoundé, Cameroun",0.415,0.4651,0.4378,0.0,vivier_a_developper,10,9,1,0.415,0,0.3076785228739008,9,True
PPBZV2505170028860,OFFRE_009750_63ca8c84a766,Commercial Transport,0.415,0.4651,0.4378,0.0,vivier_a_developper,11,10,1,0.415,0,0.3076785228739008,10,True
PPPNR2510130047555,OFFRE_013332_cd2f018e3483,Stagiaire Commercial,0.433,0.4528,0.6435,1.0,postuler_avec_plan_de_montee_en_competence,11,1,10,0.433,1,0.6380097017488744,1,True
PPPNR2510130047555,OFFRE_011694_9a481073e64d,Responsable Développemnt Commercial Après-Vente,0.433,0.409,0.6281,1.0,postuler_avec_plan_de_montee_en_competence,30,2,28,0.433,1,0.6090346011213172,2,True
PPPNR2510130047555,OFFRE_008533_a2a392d976fd,Livreur à Domicile,0.3511,0.4183,0.3314,0.0,hors_cible_actuel,29,3,26,0.3511,1,0.27671882631294925,10,True
PPPNR2510130047555,OFFRE_009210_3801ea7db319,Directeur Régional (H/F),0.2636,0.5537,0.2316,0.0,hors_cible_actuel,1,4,-3,0.2636,0,0.36629025610681326,3,True
PPPNR2510130047555,OFFRE_009499_076b2c0d2ed8,Responsable Marketing,0.2227,0.5256,0.2242,0.0,hors_cible_actuel,2,5,-3,0.2227,0,0.34770120753068634,4,True
