candidat_id,error
PPPNR2510020046225,"sequence item 2: expected str instance, float found"
PPPNR2506110031691,"sequence item 2: expected str instance, float found"
PPPNR2507250036644,"sequence item 2: expected str instance, float found"
PPBZV2506030030761,"sequence item 2: expected str instance, float found"
PPPNR2501230018166,"sequence item 2: expected str instance, float found"
PPBZV2502210020923,"sequence item 2: expected str instance, float found"
PPPNR2508270039932,"sequence item 2: expected str instance, float found"
PPBZV2504040024963,"sequence item 2: expected str instance, float found"
PPBZV2504090025290,"sequence item 2: expected str instance, float found"
PPBZV2512290056981,"sequence item 2: expected str instance, float found"
PPPNR2509180043669,"sequence item 2: expected str instance, float found"
