secteur_metier,n,part
"Bâtiment, Travaux Publics & Aménagement du Territoire",248,0.2244
"Commerce, Vente, Marketing & Distribution",169,0.1529
"Finance, Banque, Assurance, Comptabilité & Fiscalité",123,0.1113
"Transport, Logistique & Supply Chain",108,0.0977
"Sécurité, Sûreté & Défense",68,0.0615
"Industrie, Production & Maintenance",64,0.0579
"Conseil, Stratégie & Gestion des Ressources Humaines",56,0.0507
"Informatique, Data, Télécommunications & Digital",50,0.0452
Parcours Étudiant et Formation,32,0.029
"Énergie, Environnement & Eau",24,0.0217
Hôtellerie-Restauration,24,0.0217
Services à la Personne & Social,23,0.0208
"Santé, Pharmacie & Recherche Scientifique",22,0.0199
"Assurance Qualité, Contrôle, Testing (QHSE)",19,0.0172
Divers,19,0.0172
Fonction Publique & Administration,16,0.0145
Droit et Justice,13,0.0118
Agriculture & Industrie Agroalimentaire,7,0.0063
"Communication, Médias & Événementiel",7,0.0063
Industrie pétrolière et gazière,7,0.0063
"Éducation, Formation & Enseignement",3,0.0027
Artisanat et Métiers d'Art,2,0.0018
Exploitation forestière & Bois,1,0.0009
