competence,n,part_offres
Distribution,546,0.0695
FINANCE,546,0.0695
Commerce de gros,524,0.0667
Commerce de détail,524,0.0667
ADMINISTRATION,498,0.0634
INFORMATIQUE,431,0.0548
COMPTABILITÉ,401,0.051
COMMERCE,400,0.0509
ONG,388,0.0494
MARKETING,370,0.0471
GESTION,324,0.0412
TIC,306,0.0389
Télécommunications,306,0.0389
Autre,290,0.0369
SANTÉ,287,0.0365
COMMUNICATION,269,0.0342
Banque,228,0.029
VENTE,228,0.029
SCIENCE SOCIALE,221,0.0281
LOGISTIQUE,215,0.0274
RH,205,0.0261
Assurance,200,0.0254
Services financiers,194,0.0247
Marketing,189,0.024
Publicité,139,0.0177
COMMERCIAL,139,0.0177
AUTRES,139,0.0177
DROIT,122,0.0155
ECONOMIE,121,0.0154
TRANSPORT,118,0.015
