secteur,offres,candidats,total,ratio_offres_candidats
Distribution,546,0,546,
Administration,513,0,513,
Informatique,430,0,430,
Commerce,389,0,389,
ONG / Humanitaire,342,0,342,
Comptabilité,324,0,324,
Santé,307,0,307,
Tic,306,0,306,
Marketing,296,0,296,
Autre,290,0,290,
Banque,287,0,287,
"Bâtiment, Travaux Publics & Aménagement du Territoire",0,248,248,0.0
Logistique,222,0,222,
Finance,209,0,209,
Communication,204,0,204,
"Commerce, Vente, Marketing & Distribution",0,169,169,0.0
Gestion,145,0,145,
Ressources Humaines,135,0,135,
Autres,126,0,126,
"Finance, Banque, Assurance, Comptabilité & Fiscalité",0,123,123,0.0
Commercial,122,0,122,
Vente,109,0,109,
"Transport, Logistique & Supply Chain",0,108,108,0.0
Droit,95,0,95,
Transport,88,0,88,
Industrie Manufacturière,84,0,84,
Btp,84,0,84,
Sciences Sociales,80,0,80,
Audit,76,0,76,
Construction,75,0,75,
Humanitaire,75,0,75,
Ingénieur,74,0,74,
Economie,71,0,71,
Enseignement,70,0,70,
Assurance,69,0,69,
"Sécurité, Sûreté & Défense",0,68,68,0.0
"Industrie, Production & Maintenance",0,64,64,0.0
Les Services De Base,63,0,63,
Secrétaire,61,0,61,
"Conseil, Stratégie & Gestion des Ressources Humaines",0,56,56,0.0
Gouvernement,53,0,53,
"Informatique, Data, Télécommunications & Digital",0,50,50,0.0
Environnement,50,0,50,
Agronomie,49,0,49,
Éducation,48,0,48,
Agriculture,48,0,48,
Technicien,48,0,48,
Digital,44,0,44,
Stage,42,0,42,
Légal,41,0,41,
Management,41,0,41,
Industrie,40,0,40,
Hotel,40,0,40,
Hôtellerie,36,0,36,
Community Management,36,0,36,
Télécommunication,34,0,34,
Graphisme,32,0,32,
Parcours Étudiant et Formation,0,32,32,0.0
Electricité,29,0,29,
Catégories Des Recrutements,28,0,28,
Prestation De Services,28,0,28,
Tourisme,27,0,27,
Qhse,26,0,26,
Ouvriers,25,0,25,
"Énergie, Environnement & Eau",0,24,24,0.0
Hôtellerie-Restauration,0,24,24,0.0
Services à la Personne & Social,0,23,23,0.0
Sécurité,23,0,23,
Cuisine,23,0,23,
Services (Autres Activités),22,0,22,
Restauration,22,0,22,
Projet,22,0,22,
"Santé, Pharmacie & Recherche Scientifique",0,22,22,0.0
Journalisme,21,0,21,
Hygiène,20,0,20,
"Assurance Qualité, Contrôle, Testing (QHSE)",0,19,19,0.0
Divers,0,19,19,0.0
Conseil,19,0,19,
Fonction Publique & Administration,0,16,16,0.0
Génie Civil,14,0,14,
Caissier.E,14,0,14,
Maintenance,13,0,13,
Pétrole,13,0,13,
Catégories :,13,0,13,
Droit et Justice,0,13,13,0.0
Archiviste,12,0,12,
Droit / Juridique,11,0,11,
Business,11,0,11,
Immobilier,11,0,11,
Cosmetics,10,0,10,
Non Classé,10,0,10,
Infographie,10,0,10,
Consultant,9,0,9,
Chauffeur,9,0,9,
Réseaux Sociaux,9,0,9,
Électricien,8,0,8,
Agroalimentaire,8,0,8,
Animation,8,0,8,
Tous Les Profils,8,0,8,
Transports,8,0,8,
Centres D´Appel,7,0,7,
Services Autres,7,0,7,
Import,7,0,7,
Relations Internationales,7,0,7,
Télévendeur,7,0,7,
Agriculture & Industrie Agroalimentaire,0,7,7,0.0
Industrie pétrolière et gazière,0,7,7,0.0
"Communication, Médias & Événementiel",0,7,7,0.0
Beauté,7,0,7,
Sport,6,0,6,
Biologie,6,0,6,
Mécanique,6,0,6,
Audiovisuel,5,0,5,
Édition,5,0,5,
Couture,5,0,5,
Electromécanique,5,0,5,
Intérim,5,0,5,
Plusieurs Domaines,5,0,5,
Traduction,5,0,5,
Formation,5,0,5,
Relations Publiques,4,0,4,
Electronique,4,0,4,
Boulangerie,4,0,4,
Architecture,4,0,4,
Recrutement,4,0,4,
Hotesse,4,0,4,
Plomberie,4,0,4,
Mécanicien,4,0,4,
Activités Associatives,4,0,4,
Mode,3,0,3,
Administration Publique,3,0,3,
Nettoyage,3,0,3,
"Éducation, Formation & Enseignement",0,3,3,0.0
Serveur.Se,3,0,3,
Langue,3,0,3,
Patisserie,3,0,3,
Menuiserie,3,0,3,
Géologie,3,0,3,
Recrutement De Masse,3,0,3,
Entretien,3,0,3,
Douane,3,0,3,
Automobile,3,0,3,
Textile,3,0,3,
Agroalimentaire - Distribution,3,0,3,
Ameublement,3,0,3,
Mathématiques,3,0,3,
Agroalimentaire - Industrie,2,0,2,
Agroalimentaire - Hôtellerie,2,0,2,
Télécom - Transports,2,0,2,
It,2,0,2,
Diététique,2,0,2,
Vidéogramme,2,0,2,
Administration Publique - Banque,2,0,2,
Recherche,2,0,2,
Acturiat,2,0,2,
Elévage,2,0,2,
Electrotechnique,2,0,2,
Bureautique,2,0,2,
Géographie,2,0,2,
Transit,2,0,2,
Hydraulique,2,0,2,
Service Entretien,2,0,2,
Pharmacie,2,0,2,
Sciences Politiques,2,0,2,
Esthétique,2,0,2,
Artisanat et Métiers d'Art,0,2,2,0.0
Activités Associatives - Administration Publique,1,0,1,
Services Collectifs,1,0,1,
Espaces Verts,1,0,1,
Échange International,1,0,1,
Secrétariat - Services Autres - Services Collectifs,1,0,1,
Agroalimentaire - Import,1,0,1,
Agroalimentaire - Banque,1,0,1,
Agroalimentaire - Transports,1,0,1,
Administration Publique - Distribution,1,0,1,
Agroalimentaire - Chimie,1,0,1,
Equipements Mécaniques,1,0,1,
Activités Associatives - Conseil,1,0,1,
