chunk_id,source,n_sentences,semantic_coherence
diplomes_p001_c0000,diplomes,2,0.2115861028432846
diplomes_p001_c0001,diplomes,6,0.17446570098400116
diplomes_p002_c0002,diplomes,5,0.3433726727962494
diplomes_p002_c0003,diplomes,43,0.2044192999601364
diplomes_p006_c0004,diplomes,37,0.2612135112285614
diplomes_p007_c0005,diplomes,35,0.2546689212322235
diplomes_p009_c0006,diplomes,26,0.26042813062667847
diplomes_p009_c0007,diplomes,34,0.26757240295410156
diplomes_p012_c0008,diplomes,37,0.29829269647598267
diplomes_p013_c0009,diplomes,5,0.17209219932556152
diplomes_p014_c0010,diplomes,25,0.2587909996509552
diplomes_p016_c0011,diplomes,31,0.22370846569538116
diplomes_p017_c0012,diplomes,38,0.3098604679107666
diplomes_p020_c0013,diplomes,3,0.22929315268993378
diplomes_p020_c0014,diplomes,30,0.3340584337711334
diplomes_p021_c0015,diplomes,6,0.3112701177597046
diplomes_p021_c0016,diplomes,28,0.29469460248947144
diplomes_p022_c0017,diplomes,5,0.34202840924263
diplomes_p023_c0018,diplomes,3,0.45677974820137024
diplomes_p023_c0019,diplomes,6,0.3595190942287445
diplomes_p023_c0020,diplomes,4,0.19848942756652832
diplomes_p023_c0021,diplomes,3,0.1772298961877823
diplomes_p023_c0022,diplomes,1,
diplomes_p024_c0023,diplomes,3,0.3640315532684326
diplomes_p024_c0024,diplomes,7,0.30377939343452454
diplomes_p024_c0025,diplomes,1,
diplomes_p024_c0026,diplomes,4,0.31789305806159973
diplomes_p024_c0027,diplomes,3,0.2556338608264923
diplomes_p025_c0028,diplomes,3,0.21854428946971893
diplomes_p025_c0029,diplomes,2,0.1609792411327362
diplomes_p025_c0030,diplomes,3,0.41534891724586487
diplomes_p025_c0031,diplomes,6,0.3132585883140564
diplomes_p025_c0032,diplomes,2,0.18481630086898804
diplomes_p025_c0033,diplomes,2,0.2393513321876526
diplomes_p026_c0034,diplomes,8,0.2801539897918701
diplomes_p026_c0035,diplomes,11,0.3406584858894348
diplomes_p027_c0036,diplomes,12,0.27336326241493225
diplomes_p029_c0037,diplomes,4,0.2232515811920166
diplomes_p029_c0038,diplomes,2,0.06593300402164459
diplomes_p029_c0039,diplomes,2,0.3564809560775757
diplomes_p029_c0040,diplomes,2,0.2260509580373764
diplomes_p029_c0041,diplomes,5,0.23396117985248566
diplomes_p029_c0042,diplomes,2,0.25824204087257385
MEPC_2013_p001_c0000,MEPC_2013,6,0.24331746995449066
MEPC_2013_p002_c0001,MEPC_2013,8,0.48190218210220337
MEPC_2013_p003_c0002,MEPC_2013,3,0.2089395970106125
MEPC_2013_p003_c0003,MEPC_2013,19,0.21428214013576508
MEPC_2013_p005_c0004,MEPC_2013,16,0.28993165493011475
MEPC_2013_p005_c0005,MEPC_2013,29,0.24999943375587463
MEPC_2013_p006_c0006,MEPC_2013,40,0.26794007420539856
MEPC_2013_p010_c0007,MEPC_2013,6,0.19100837409496307
MEPC_2013_p010_c0008,MEPC_2013,36,0.24602770805358887
MEPC_2013_p013_c0009,MEPC_2013,47,0.26999226212501526
MEPC_2013_p015_c0010,MEPC_2013,2,0.2551007866859436
MEPC_2013_p015_c0011,MEPC_2013,11,0.4724713861942291
MEPC_2013_p015_c0012,MEPC_2013,2,0.5016005635261536
MEPC_2013_p015_c0013,MEPC_2013,3,0.31388017535209656
MEPC_2013_p015_c0014,MEPC_2013,1,
MEPC_2013_p015_c0015,MEPC_2013,1,
MEPC_2013_p015_c0016,MEPC_2013,1,
MEPC_2013_p016_c0017,MEPC_2013,2,0.42488592863082886
MEPC_2013_p016_c0018,MEPC_2013,1,
MEPC_2013_p016_c0019,MEPC_2013,31,0.2567524015903473
MEPC_2013_p017_c0020,MEPC_2013,8,0.3522431552410126
MEPC_2013_p018_c0021,MEPC_2013,28,0.33530592918395996
MEPC_2013_p018_c0022,MEPC_2013,36,0.27871769666671753
MEPC_2013_p020_c0023,MEPC_2013,22,0.31227368116378784
MEPC_2013_p021_c0024,MEPC_2013,4,0.3388550579547882
MEPC_2013_p021_c0025,MEPC_2013,18,0.25543922185897827
MEPC_2013_p021_c0026,MEPC_2013,12,0.3824364244937897
MEPC_2013_p022_c0027,MEPC_2013,28,0.26407214999198914
MEPC_2013_p023_c0028,MEPC_2013,5,0.4823542535305023
MEPC_2013_p023_c0029,MEPC_2013,4,0.2882383465766907
MEPC_2013_p023_c0030,MEPC_2013,16,0.32607582211494446
MEPC_2013_p024_c0031,MEPC_2013,48,0.2785877585411072
MEPC_2013_p026_c0032,MEPC_2013,46,0.26285648345947266
MEPC_2013_p029_c0033,MEPC_2013,1,
MEPC_2013_p029_c0034,MEPC_2013,17,0.3818581998348236
MEPC_2013_p029_c0035,MEPC_2013,5,0.49403271079063416
MEPC_2013_p030_c0036,MEPC_2013,35,0.2795787751674652
MEPC_2013_p032_c0037,MEPC_2013,38,0.2964000999927521
MEPC_2013_p035_c0038,MEPC_2013,8,0.38692936301231384
MEPC_2013_p035_c0039,MEPC_2013,11,0.2876645624637604
MEPC_2013_p036_c0040,MEPC_2013,1,
MEPC_2013_p036_c0041,MEPC_2013,3,0.2548234462738037
MEPC_2013_p036_c0042,MEPC_2013,4,0.29850879311561584
MEPC_2013_p036_c0043,MEPC_2013,36,0.2881259620189667
MEPC_2013_p038_c0044,MEPC_2013,39,0.3052665591239929
MEPC_2013_p045_c0045,MEPC_2013,6,0.24396398663520813
MEPC_2013_p046_c0046,MEPC_2013,37,0.2521410882472992
MEPC_2013_p047_c0047,MEPC_2013,30,0.26257115602493286
MEPC_2013_p048_c0048,MEPC_2013,34,0.2425186038017273
MEPC_2013_p078_c0049,MEPC_2013,37,0.24780681729316711
MEPC_2013_p079_c0050,MEPC_2013,33,0.24857890605926514
MEPC_2013_p083_c0051,MEPC_2013,40,0.26439231634140015
MEPC_2013_p093_c0052,MEPC_2013,35,0.33102333545684814
MEPC_2013_p094_c0053,MEPC_2013,39,0.27802523970603943
MEPC_2013_p097_c0054,MEPC_2013,39,0.30668020248413086
MEPC_2013_p104_c0055,MEPC_2013,41,0.29143238067626953
MEPC_2013_p121_c0056,MEPC_2013,19,0.27082279324531555
MEPC_2013_p122_c0057,MEPC_2013,34,0.3209519684314728
MEPC_2013_p138_c0058,MEPC_2013,36,0.3439062237739563
MEPC_2013_p143_c0059,MEPC_2013,42,0.31207019090652466
MEPC_2013_p146_c0060,MEPC_2013,2,0.36487919092178345
NCF_2017_p002_c0000,NCF_2017,4,0.3277665078639984
NCF_2017_p008_c0001,NCF_2017,6,0.36559775471687317
NCF_2017_p008_c0002,NCF_2017,22,0.28488531708717346
NCF_2017_p009_c0003,NCF_2017,32,0.31031447649002075
NCF_2017_p012_c0004,NCF_2017,20,0.30945083498954773
NCF_2017_p013_c0005,NCF_2017,1,
NCF_2017_p013_c0006,NCF_2017,1,
NCF_2017_p014_c0007,NCF_2017,10,0.2760521173477173
NCF_2017_p015_c0008,NCF_2017,15,0.4738564193248749
NCF_2017_p016_c0009,NCF_2017,10,0.38127490878105164
NCF_2017_p017_c0010,NCF_2017,11,0.30408015847206116
NCF_2017_p018_c0011,NCF_2017,7,0.38009798526763916
NCF_2017_p019_c0012,NCF_2017,8,0.4110352694988251
NCF_2017_p020_c0013,NCF_2017,10,0.3327028155326843
NCF_2017_p021_c0014,NCF_2017,11,0.3332144618034363
NCF_2017_p022_c0015,NCF_2017,5,0.41732272505760193
NCF_2017_p023_c0016,NCF_2017,13,0.3603977560997009
NCF_2017_p024_c0017,NCF_2017,10,0.4172874093055725
NCF_2017_p025_c0018,NCF_2017,9,0.3506038784980774
NCF_2017_p025_c0019,NCF_2017,4,0.28920257091522217
NCF_2017_p025_c0020,NCF_2017,3,0.355151891708374
NCF_2017_p025_c0021,NCF_2017,3,0.4507697820663452
NCF_2017_p025_c0022,NCF_2017,3,0.3388229310512543
NCF_2017_p026_c0023,NCF_2017,3,0.2594672441482544
NCF_2017_p026_c0024,NCF_2017,3,0.3164665997028351
NCF_2017_p026_c0025,NCF_2017,6,0.2854125201702118
NCF_2017_p026_c0026,NCF_2017,35,0.39173224568367004
NCF_2017_p047_c0027,NCF_2017,27,0.3046056032180786
NCF_2017_p048_c0028,NCF_2017,20,0.2928478717803955
NCF_2017_p049_c0029,NCF_2017,19,0.3119896948337555
NCF_2017_p049_c0030,NCF_2017,30,0.2903456687927246
NCF_2017_p050_c0031,NCF_2017,38,0.2929873764514923
NCF_2017_p053_c0032,NCF_2017,31,0.2833836078643799
NCF_2017_p059_c0033,NCF_2017,2,0.393339604139328
NCF_2017_p059_c0034,NCF_2017,4,0.32105717062950134
NCF_2017_p059_c0035,NCF_2017,30,0.260066419839859
NCF_2017_p067_c0036,NCF_2017,29,0.29980364441871643
NCF_2017_p072_c0037,NCF_2017,0,
