entity_kind,entity_id,label_fr,pc1,pc2
COMPETENCE,http://data.europa.eu/esco/skill/bb4f3174-8d64-478b-8d9b-5f37cbf557b7,gérer les flux de visiteurs dans des zones naturelles protégées,-0.11327163949943006,-0.06049519805587493
COMPETENCE,http://data.europa.eu/esco/skill/df1265b9-81fd-4a40-a746-f0442ffbf7ef,distribuer le courrier,-0.15248784988906844,-0.251834805318014
COMPETENCE,http://data.europa.eu/esco/skill/37992d18-8d7e-4122-ad52-fa5d2d52ebde,comprendre l'ourdou écrit,0.01719677452385362,-0.3027695796169601
COMPETENCE,http://data.europa.eu/esco/skill/d6380f06-1802-4ab0-b076-21894b35f84b,produits chimiques pour piscines,-0.19486512111246276,-0.060816973095866936
COMPETENCE,http://data.europa.eu/esco/skill/f9d70f2a-c3f0-475d-ac55-dc2e2ba856e8,diriger des inspections,-0.16653031223987486,-0.04271671715752064
COMPETENCE,http://data.europa.eu/esco/skill/e5e17773-3a63-40c5-99e4-10e036cf7b99,semi-conducteurs,-0.13565601651170278,0.13752862690388895
COMPETENCE,http://data.europa.eu/esco/skill/489b2571-ce18-4944-b452-ed1f54e55b68,Schoology,0.06372584434250365,-0.10455188957031504
COMPETENCE,http://data.europa.eu/esco/skill/a311f8ae-8244-45ef-9c3a-40e767940942,substances d’enrobage,-0.2708401436116511,-0.11167186972116955
COMPETENCE,http://data.europa.eu/esco/skill/99b163e8-7815-43e2-83f3-a47f3076354c,écritures comptables,0.10124403295229376,-0.03450381446069374
COMPETENCE,http://data.europa.eu/esco/skill/2a0ce341-43c6-4550-8cac-4c16d0826151,surveiller une déchiqueteuse,-0.34763200180628684,-0.12946052936196445
COMPETENCE,http://data.europa.eu/esco/skill/553e47b3-43d8-447f-b48b-501fd7355aa4,utiliser des outils pour réparer des moulages,-0.1871851721009511,-0.1292366371819031
COMPETENCE,http://data.europa.eu/esco/skill/eb13f8c5-8300-4422-a51f-475a7edb09ef,réaliser des essais sur des textiles,-0.1062548503615309,-0.2205426635698738
COMPETENCE,http://data.europa.eu/esco/skill/e29f0633-f168-48ab-8f94-1be573cea173,concevoir des opérations de post-tannage,-0.20096041765081932,-0.08587033073068569
COMPETENCE,http://data.europa.eu/esco/skill/d5ce57eb-3ec8-429b-9837-1cbd3aa0ec9a,matériel de plongée,-0.20809020338283152,-0.20050105024111886
COMPETENCE,http://data.europa.eu/esco/skill/6ac62059-f71c-4c4c-8aa8-91202816f773,badminton,-0.04980893739731078,-0.13403066117981227
COMPETENCE,http://data.europa.eu/esco/skill/8acf5d5e-2ba1-4880-adf5-61746253ec44,découper des verres pour lunettes,-0.1693214437992844,-0.22688852087724648
COMPETENCE,http://data.europa.eu/esco/skill/0aa02c52-077d-45f8-8c2d-7132c11ac16e,effectuer des recherches stratégiques,-0.0192342397498481,-0.3111364410293221
COMPETENCE,http://data.europa.eu/esco/skill/9542c4ec-2a56-42eb-af37-3e977df3e201,inspecter une sortie d'impression,-0.11523913627202971,-0.16143882007682708
COMPETENCE,http://data.europa.eu/esco/skill/f0c987fc-4d50-4f74-ac5f-4b970c6bd2e9,installer des pompes à béton,-0.237827425633252,-0.09815874939849664
COMPETENCE,http://data.europa.eu/esco/skill/66aad490-1c20-4e25-b189-634a218ee53e,gestion des affaires juridiques,-0.12976916359306503,-0.08969109326634385
COMPETENCE,http://data.europa.eu/esco/skill/334cd662-0415-44ac-bc8a-e24b320b4284,communiquer sur le bien-être de la jeunesse,0.08728910286924277,-0.2500009819806429
COMPETENCE,http://data.europa.eu/esco/skill/3baa5993-1438-41d3-b629-9412ea8833b1,passer d’un mode à l’autre sur un tunnelier,-0.12663416997401708,-0.18050338196526836
COMPETENCE,http://data.europa.eu/esco/skill/15952b07-e74b-4618-baf2-51f40a5edbc4,intermodalité,-0.2264521625419434,-0.18276815581182457
COMPETENCE,http://data.europa.eu/esco/skill/2cc30e4e-2139-411a-9fa9-f0d616b64c57,surveiller des tendances sociologiques,-0.20665897898972152,-0.25512935996881825
COMPETENCE,http://data.europa.eu/esco/skill/996243ee-543f-4c36-a31a-e0f2403c0c5d,réagir avec empathie,-0.10268605136395409,-0.2524666369575431
COMPETENCE,http://data.europa.eu/esco/skill/7a21689e-3f98-4284-8501-6e9b053262c9,charger la cargaison à bord des navires,-0.20929466211441367,-0.09392376729423828
COMPETENCE,http://data.europa.eu/esco/skill/6be902f1-9675-4e57-a398-f5be3598a1f0,calculer la cote,-0.1258348022014154,-0.2120228162310327
COMPETENCE,http://data.europa.eu/esco/skill/128f318e-1bc8-4921-821f-b0aad1d98922,déterminer un système de chauffage et de refroidissement approprié,-0.2830572180402756,-0.041442152447071036
COMPETENCE,http://data.europa.eu/esco/skill/0fad7d54-a1ac-412e-84d5-3740ba5cb7a1,utiliser des outils de serrurier,-0.24850239986901612,-0.15608327832899133
COMPETENCE,http://data.europa.eu/esco/skill/3e679f1c-e515-4f1b-82b3-2a7e848183a5,donner des conseils sur l’élaboration des politiques,0.07449435468298919,-0.16248867899788305
COMPETENCE,http://data.europa.eu/esco/skill/541c8568-1b37-4903-8655-222cc25f8158,appliquer la réglementation relative aux moteurs des navires,-0.08084802748218949,-0.19907291709068917
COMPETENCE,http://data.europa.eu/esco/skill/a4881e54-6055-4e61-855a-0a56ced7cfa3,évaluation de la stratégie web,0.1536350047667401,-0.20573956529576518
COMPETENCE,http://data.europa.eu/esco/skill/55d46c76-385c-4a86-bc8c-328b6e2f8824,analyser du jus de pomme pour la production de cidre,-0.3416479204144918,-0.10714588333915309
COMPETENCE,http://data.europa.eu/esco/skill/c643e59b-d74c-4f44-b76e-6e1d96c05ec4,utiliser un équipement de sécurité dans la construction,-0.1726525032530208,0.03866055723009636
COMPETENCE,http://data.europa.eu/esco/skill/6e0cc337-e95a-4686-932c-303e1d3fb0df,traduire une bande-son,-0.13776974402593145,-0.29155673071389504
