entity_kind,entity_id,label_fr,umap_1,umap_2
COMPETENCE,http://data.europa.eu/esco/skill/1e38f5be-bb7d-42c5-8301-c16cf400f8ee,énergies renouvelables,0.3515281,-2.8168788
COMPETENCE,http://data.europa.eu/esco/skill/7838b15f-1beb-4da3-b4f2-22d8ae6e9079,défendre les droits des usagers,-1.3409762,0.28380188
COMPETENCE,http://data.europa.eu/esco/skill/96a6b597-fc62-487e-87f2-de5b67950a3a,calculer des dividendes,-1.4373701,-1.2112705
COMPETENCE,http://data.europa.eu/esco/skill/e307e333-426d-4e7e-81f0-16cff013a20f,politiques d’annulation des prestataires de services,-1.3096898,-0.15722589
COMPETENCE,http://data.europa.eu/esco/skill/3159d806-fa7b-4803-9288-0c0417b7871c,machines de l'industrie textile,-0.31192693,-3.1358356
COMPETENCE,http://data.europa.eu/esco/skill/68117f21-c66a-4769-87b0-586fe17f9ab5,mesurer des feuilles de papier,-0.8625496,-3.2543283
COMPETENCE,http://data.europa.eu/esco/skill/39d7a905-07f0-43a8-82c8-be135821d564,élaborer des itinéraires touristiques personnalisés,-0.6885092,-1.1073533
COMPETENCE,http://data.europa.eu/esco/skill/3cad3a73-8a5d-49f8-8151-f3260a10f479,surveiller la validité des certificats de navires,-1.6365393,-1.4901187
COMPETENCE,http://data.europa.eu/esco/skill/c7e8948c-e7e4-406a-957d-55daaa4cdb44,garantir la sécurité de conservation des stocks,-0.8397026,-1.4017011
COMPETENCE,http://data.europa.eu/esco/skill/7afb5a64-e574-421a-bb3a-7a7bc108d2a5,exécuter des opérations d’entreposage,0.05298768,-4.208852
COMPETENCE,http://data.europa.eu/esco/skill/88af9294-b697-4687-ae19-aefbb6234dfa,économie,-1.2895162,-0.051266864
COMPETENCE,http://data.europa.eu/esco/skill/83331548-2159-4b87-9177-c3cb29978540,inspecter des arbres,-0.79718256,-2.4446778
COMPETENCE,http://data.europa.eu/esco/skill/4b9b1bc5-a1a9-4172-a669-509f94a479dc,troubles psychiatriques,0.4585426,-0.3802674
COMPETENCE,http://data.europa.eu/esco/skill/4c9e3dd5-0e3a-4e22-9b70-213f7d0e8a3c,sélectionner des types de coquilles,-1.3132797,-2.2304115
COMPETENCE,http://data.europa.eu/esco/skill/c611304c-2b99-4d56-b267-55e403925736,maintenir la propreté de l’espace bar,-0.88555855,-1.4273832
COMPETENCE,http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,techniques de sciage,-2.555209,-0.70407695
COMPETENCE,http://data.europa.eu/esco/skill/07ebc888-0f3f-46e7-99d2-a7c7ebd7ffe3,logiciel de gestions des réservations,-0.57251585,0.43070072
COMPETENCE,http://data.europa.eu/esco/skill/dfbf38d8-87c9-4e67-925a-e421150aae09,prévenir les problèmes techniques des instruments de musique,-2.6116295,-2.0917225
COMPETENCE,http://data.europa.eu/esco/skill/b080a008-a35d-4bd0-92e9-edf3773bb2b7,utiliser des logiciels de communication et de collaboration,-2.5079389,1.920956
COMPETENCE,http://data.europa.eu/esco/skill/b459f803-ddbf-4a90-9419-fb92acf12e14,fournir des soins en cas d’interruption de grossesse,0.29662645,-0.5820691
COMPETENCE,http://data.europa.eu/esco/skill/86d1dd29-b6af-4964-a9aa-b34e9e547b3b,se tenir au courant des innovations en matière de diagnostic,-2.2040246,-0.4850852
COMPETENCE,http://data.europa.eu/esco/skill/ef069fe6-305b-4452-8f7d-0c572e98effc,mobile marketing,-2.5054095,1.7763171
COMPETENCE,http://data.europa.eu/esco/skill/e9867780-9584-43a9-af10-8eb730b525cc,examiner une zone après un dynamitage,-0.09119094,-0.81445295
COMPETENCE,http://data.europa.eu/esco/skill/fdfd4336-fda1-44c8-8dbf-771a472d79bb,orienter un tuyau de pompe à béton,-1.1760296,-3.0391054
COMPETENCE,http://data.europa.eu/esco/skill/0eb3807c-acdf-47fe-8853-32a29c7bba27,diagnostic psychiatrique,0.6142151,-0.5042774
COMPETENCE,http://data.europa.eu/esco/skill/732ce235-dbdb-4585-92fb-0c62b994bd5e,construire une cage d’armature,-1.1944919,-3.6094017
COMPETENCE,http://data.europa.eu/esco/skill/0637466c-4f91-4faa-99f6-1594d9d72d32,négocier avec des fournisseurs pour le matériel visuel,-1.3244728,-1.4351312
COMPETENCE,http://data.europa.eu/esco/skill/0be7c835-a562-416f-8c35-67abd0995b4d,procédés de matriçage,-0.63765895,-2.9187193
COMPETENCE,http://data.europa.eu/esco/skill/b997afc1-19a7-4208-8010-fa0ffef15799,gérer les instructions à l’intention d’utilisateurs d’archives,-2.2710547,-0.89210665
COMPETENCE,http://data.europa.eu/esco/skill/0f6a4412-7517-4db9-bf3f-53597ff48f1e,surveiller les finances d’un casino,-0.9573099,-0.3951594
COMPETENCE,http://data.europa.eu/esco/skill/1299a59c-8b90-4838-8bef-0065cdfc8bdf,écrire en pendjabi,-2.131891,-1.5224727
COMPETENCE,http://data.europa.eu/esco/skill/ee93e363-0c2b-40ed-bbf1-aa5aaf9683fe,soutenir des bénévoles,-1.5912906,-2.001814
