source,relation,cible,n
Candidat,POSSEDE,Compétence,221413
Métier,NECESSITE,Compétence,126051
OffreEmploi,REQUIERT,Compétence,58519
Candidat,A_NIVEAU,NiveauFormationNCF,41254
Compétence,PARTIE_DE,GroupeCompétences,20183
Métier,CORRESPOND_MEPC,GroupeBaseMEPC,18642
OffreEmploi,DANS_SECTEUR,Secteur,13957
OffreEmploi,PUBLIEE_PAR,Employeur,13935
OffreEmploi,LOCALISEE_A,Localisation,13715
Candidat,A_FORMATION,DomaineDétailléNCF,8136
OffreEmploi,REQUIERT_NIVEAU,NiveauFormationNCF,5529
OffreEmploi,REQUIERT_NIVEAU_NCF,NiveauFormationNCF,5529
Métier,CLASSIFIE_DANS,GroupeISCO,3039
GroupeBaseMEPC,ALIGNE_AVEC,GroupeISCO,203
DomaineSpécialiséNCF,CONTIENT,DomaineDétailléNCF,201
DocChunk,EXTRAIT_DE,DocumentReferentiel,142
GroupeISCO,CONTIENT,GroupeISCO,43
GrandDomaineNCF,CONTIENT,DomaineSpécialiséNCF,31
DocChunk,DECRIT,GrandGroupeMEPC,9
DocChunk,DECRIT,SousGroupeMEPC,6
DomaineDétailléNCF,PREPARE_POUR,Métier,5
