label,n_nodes,avg_degree,p50_degree,p90_degree,min_degree,max_degree,sd_degree
Candidat,41298,6.557315124219107,7.0,8.0,1,8,1.7911435313207964
GroupeCompétences,14579,2.198298923108585,1.0,1.0,1,270,8.475104235965963
OffreEmploi,13957,7.966181844235902,9.0,11.0,2,11,2.959699186918797
Compétence,13939,30.57364229858663,5.0,28.0,1,6789,259.393531339439
Métier,3039,48.613688713392655,44.0,77.0,11,186,20.2528005081556
Employeur,1638,8.507326007326014,1.0,5.0,1,5933,159.20664144616208
GroupeISCO,619,6.290791599353799,1.0,1.0,1,282,27.67815658531747
Localisation,312,43.95833333333331,1.0,8.0,1,4467,300.0036358747162
GroupeBaseMEPC,209,90.2248803827751,73.0,201.0,1,276,77.54857133727204
DomaineDétailléNCF,201,41.50248756218907,1.0,76.0,1,1326,145.16535827731454
Secteur,192,72.69270833333331,5.5,151.60000000000002,1,1548,191.6608434173053
DocChunk,142,1.1056338028169015,1.0,1.9000000000000057,1,2,0.3084563828580332
SousGroupeMEPC,44,1.0,1.0,1.0,1,1,0.0
DomaineSpécialiséNCF,31,7.483870967741934,7.0,10.0,3,12,2.3362500970848625
GrandDomaineNCF,10,3.1,3.0,5.0,2,5,1.1972189997378648
NiveauFormationNCF,9,5812.555555555556,7073.0,10672.4,1,11050,4437.790303493144
GrandGroupeMEPC,8,1.5,1.5,2.0,1,2,0.5345224838248488
DocumentReferentiel,3,47.333333333333336,43.0,57.400000000000006,38,61,12.096831541082704
