label,nom,degree
NiveauFormationNCF,7,11050
NiveauFormationNCF,5,10578
NiveauFormationNCF,1,10262
NiveauFormationNCF,6,7172
NiveauFormationNCF,4,7073
Compétence,coordonner le transport,6789
Compétence,respecter le planning de travail dans les transports,6728
Compétence,gérer le transport de fonds,6720
Compétence,véhicules de transport pour chevaux,6702
Compétence,droit du transport aérien,6536
Compétence,fixer des objectifs de transport,6000
Employeur,Employeur non précisé,5933
Compétence,se mettre en relation avec des responsables de l’assurance qualité,5863
Compétence,comptabilité,5823
Compétence,industrie de l'habillement,5509
Compétence,industrie de l’aquaculture,5499
Compétence,industrie de la musique et de la vidéo,5486
Compétence,se tenir informé des tendances dans l’industrie du design,5463
Compétence,industrie cosmétique,5433
Compétence,hygiène et sécurité dans l’industrie textile,4914
Compétence,vendre des produits d’assurance,4874
Compétence,principes de l'assurance,4862
Compétence,exécuter des exercices d'assurance de la sécurité,4812
Compétence,procédures d’assurance qualité,4726
Localisation,Yaoundé,4467
Compétence,concevoir un système d’enveloppe du bâtiment,4342
Compétence,établir un plan d’étanchéité à l’air du bâtiment,4309
NiveauFormationNCF,8,4165
Compétence,nettoyer les sols d’un bâtiment,4158
Compétence,nettoyer la façade d’un bâtiment,4004
