node_id,label,nom
4:14eb8beb-5181-4c72-9add-2d88d47b846f:13939,Métier,directeur technique/directrice technique
4:14eb8beb-5181-4c72-9add-2d88d47b846f:263,Compétence,organiser des répétitions
4:14eb8beb-5181-4c72-9add-2d88d47b846f:2126,Compétence,rédiger une évaluation des risques sur la représentation d'une production artistique
4:14eb8beb-5181-4c72-9add-2d88d47b846f:3917,Compétence,assurer la coordination avec les services créatifs
4:14eb8beb-5181-4c72-9add-2d88d47b846f:4882,Compétence,s’adapter aux exigences créatives d’artistes
4:14eb8beb-5181-4c72-9add-2d88d47b846f:7359,Compétence,négocier des questions de santé et de sécurité avec des tiers
4:14eb8beb-5181-4c72-9add-2d88d47b846f:7542,Compétence,adapter le travail des concepteurs à la salle de spectacle
4:14eb8beb-5181-4c72-9add-2d88d47b846f:8119,Compétence,promouvoir la santé et la sécurité
4:14eb8beb-5181-4c72-9add-2d88d47b846f:8921,Compétence,rédiger des devis techniques
4:14eb8beb-5181-4c72-9add-2d88d47b846f:13389,Compétence,coordonner les équipes techniques dans des productions artistiques
4:14eb8beb-5181-4c72-9add-2d88d47b846f:13868,Compétence,techniques théâtrales
4:14eb8beb-5181-4c72-9add-2d88d47b846f:32294,GroupeBaseMEPC,3601
4:14eb8beb-5181-4c72-9add-2d88d47b846f:32295,GroupeBaseMEPC,3602
4:14eb8beb-5181-4c72-9add-2d88d47b846f:32296,GroupeBaseMEPC,3603
4:14eb8beb-5181-4c72-9add-2d88d47b846f:32297,GroupeBaseMEPC,3604
4:14eb8beb-5181-4c72-9add-2d88d47b846f:32298,GroupeBaseMEPC,3605
4:14eb8beb-5181-4c72-9add-2d88d47b846f:13940,Métier,opérateur de tréfilerie/opératrice de tréfilerie
4:14eb8beb-5181-4c72-9add-2d88d47b846f:596,Compétence,traitement des métaux non ferreux
4:14eb8beb-5181-4c72-9add-2d88d47b846f:2204,Compétence,contrôler un manomètre
4:14eb8beb-5181-4c72-9add-2d88d47b846f:2213,Compétence,tenir un registre de données de production pour le contrôle de la qualité
4:14eb8beb-5181-4c72-9add-2d88d47b846f:2759,Compétence,écarter des pièces à usiner non conformes
4:14eb8beb-5181-4c72-9add-2d88d47b846f:2831,Compétence,effectuer un dépannage
4:14eb8beb-5181-4c72-9add-2d88d47b846f:2966,Compétence,retirer une pièce à usiner traitée
4:14eb8beb-5181-4c72-9add-2d88d47b846f:3037,Compétence,réaliser des essais de produits
4:14eb8beb-5181-4c72-9add-2d88d47b846f:3237,Compétence,optimisation de la qualité et de la durée des cycles
4:14eb8beb-5181-4c72-9add-2d88d47b846f:3804,Compétence,surveiller le déplacement d’une pièce à usiner dans une machine
4:14eb8beb-5181-4c72-9add-2d88d47b846f:3829,Compétence,réaliser des essais de fonctionnement
4:14eb8beb-5181-4c72-9add-2d88d47b846f:3833,Compétence,traitement des métaux ferreux
4:14eb8beb-5181-4c72-9add-2d88d47b846f:4274,Compétence,utiliser une machine d’étirage
4:14eb8beb-5181-4c72-9add-2d88d47b846f:4798,Compétence,utiliser une machine d’étirage de tubes
4:14eb8beb-5181-4c72-9add-2d88d47b846f:5293,Compétence,techniques de façonnage des métaux
4:14eb8beb-5181-4c72-9add-2d88d47b846f:5342,Compétence,porter des équipements de protection appropriés
