secteur,n,part,part_pct
Autre,1548,0.11091208712474028,11.09
Administration,1086,0.0778104177115426,7.78
Services,827,0.059253421222325714,5.93
Commerce,816,0.058465286236297195,5.85
Finance,710,0.05087053091638604,5.09
Distribution,603,0.04320412696138139,4.32
Informatique,559,0.04005158701726732,4.01
Industrie,538,0.03854696568030379,3.85
Éducation,471,0.03374650712903919,3.37
Logistique,456,0.03267177760263667,3.27
Santé,379,0.027154832700437056,2.72
ONG / Humanitaire,373,0.026724940889876047,2.67
Comptabilité,361,0.02586515726875403,2.59
Tic,346,0.024790427742351507,2.48
Marketing,334,0.02393064412122949,2.39
