ville,n,part,part_pct
Yaoundé,4467,0.32005445296267104,32.01
Cameroun (Ville Non Précisée),2029,0.1453750806047145,14.54
Pointe-Noire,1226,0.0878412266246328,8.78
Limbé,832,0.059611664397793224,5.96
Brazzaville,827,0.059253421222325714,5.93
Douala,713,0.051085476821666545,5.11
Bafoussam,580,0.04155620835423085,4.16
Kribi,515,0.03689904707315326,3.69
Yaoundé (Ekoumdoum),414,0.029662534928709607,2.97
Ngousso,412,0.029519237658522605,2.95
Maroua,282,0.020204915096367414,2.02
Non renseigné,242,0.017338969692627354,1.73
Garoua,208,0.014902916099448306,1.49
Bouenza,180,0.012896754316830265,1.29
Bamenda,126,0.009027728021781185,0.9
