secteur,n,part,part_pct
"Transport, Logistique & Supply Chain",6259,0.1515569761247518,15.16
"Industrie, Production & Maintenance",5232,0.12668894377451692,12.67
"Bâtiment, Travaux Publics & Aménagement du Territoire",4321,0.10462976415322776,10.46
"Finance, Banque, Assurance, Comptabilité & Fiscalité",4315,0.1044844786672478,10.45
"Commerce, Vente, Marketing & Distribution",3075,0.07445881156472468,7.45
"Informatique, Data, Télécommunications & Digital",2951,0.07145624485447237,7.15
Parcours Étudiant et Formation,2057,0.049808707443459735,4.98
"Sécurité, Sûreté & Défense",2021,0.048936994527580026,4.89
"Conseil, Stratégie & Gestion des Ressources Humaines",1935,0.04685456922853407,4.69
"Énergie, Environnement & Eau",1526,0.0369509419342341,3.7
Hôtellerie-Restauration,1293,0.03130902222867935,3.13
Fonction Publique & Administration,1118,0.027071528887597462,2.71
