secteur,offres,candidats,total,ratio_offres_candidats
"Transport, Logistique & Supply Chain",0,6259,6259,0.0
"Industrie, Production & Maintenance",0,5232,5232,0.0
"Bâtiment, Travaux Publics & Aménagement du Territoire",0,4321,4321,0.0
"Finance, Banque, Assurance, Comptabilité & Fiscalité",0,4315,4315,0.0
"Commerce, Vente, Marketing & Distribution",0,3075,3075,0.0
"Informatique, Data, Télécommunications & Digital",0,2951,2951,0.0
Parcours Étudiant et Formation,0,2057,2057,0.0
"Sécurité, Sûreté & Défense",0,2021,2021,0.0
"Conseil, Stratégie & Gestion des Ressources Humaines",0,1935,1935,0.0
Autre,1548,0,1548,inf
"Énergie, Environnement & Eau",0,1526,1526,0.0
Hôtellerie-Restauration,0,1293,1293,0.0
Fonction Publique & Administration,0,1118,1118,0.0
"Assurance Qualité, Contrôle, Testing (QHSE)",0,1092,1092,0.0
Administration,1086,0,1086,inf
Services,827,0,827,inf
Commerce,816,0,816,inf
Agriculture & Industrie Agroalimentaire,0,806,806,0.0
Finance,710,0,710,inf
Services à la Personne & Social,0,676,676,0.0
Distribution,603,0,603,inf
"Santé, Pharmacie & Recherche Scientifique",0,565,565,0.0
Informatique,559,0,559,inf
Divers,0,539,539,0.0
Industrie,538,0,538,inf
Éducation,471,0,471,inf
Droit et Justice,0,462,462,0.0
Industrie pétrolière et gazière,0,459,459,0.0
Logistique,456,0,456,inf
Santé,379,0,379,inf
ONG / Humanitaire,373,0,373,inf
Comptabilité,361,0,361,inf
Tic,346,0,346,inf
Marketing,334,0,334,inf
Banque,330,0,330,inf
Management,311,0,311,inf
"Communication, Médias & Événementiel",0,250,250,0.0
Ressources Humaines,235,0,235,inf
Communication,232,0,232,inf
"Éducation, Formation & Enseignement",0,166,166,0.0
Gestion,152,0,152,inf
Commercial,148,0,148,inf
Autres,138,0,138,inf
Btp,122,0,122,inf
Vente,122,0,122,inf
Hôtellerie,112,0,112,inf
Droit,105,0,105,inf
Transport,97,0,97,inf
Industrie Manufacturière,90,0,90,inf
Assurance,86,0,86,inf
Sciences Sociales,86,0,86,inf
Enseignement,86,0,86,inf
Construction,85,0,85,inf
Audit,83,0,83,inf
Humanitaire,81,0,81,inf
Ingénieur,78,0,78,inf
Economie,73,0,73,inf
Secrétaire,71,0,71,inf
Gouvernement,68,0,68,inf
Les Services De Base,65,0,65,inf
Agronomie,59,0,59,inf
Ingénierie,54,0,54,inf
Digital,52,0,52,inf
Légal,51,0,51,inf
Agriculture,51,0,51,inf
Environnement,50,0,50,inf
Traduction,5,44,49,0.114
Technicien,48,0,48,inf
Community Management,46,0,46,inf
Catégories Des Recrutements,45,0,45,inf
Stage,44,0,44,inf
Immobilier,11,31,42,0.355
Artisanat et Métiers d'Art,0,42,42,0.0
Hotel,41,0,41,inf
Droit / Juridique,40,0,40,inf
Télécommunication,36,0,36,inf
Electricité,33,0,33,inf
Graphisme,33,0,33,inf
Tourisme,31,0,31,inf
Ouvriers,31,0,31,inf
Prestation De Services,28,0,28,inf
Qhse,27,0,27,inf
