zone_localisation,pays_clean,ville_principale_clean,n,part_pct
Cameroun,Cameroun,Yaoundé,4477,32.08
Cameroun,Cameroun,Cameroun (ville non précisée),2235,16.01
International,Congo,Pointe-Noire,1226,8.78
Cameroun,Cameroun,Limbé,832,5.96
International,Congo,Brazzaville,827,5.93
Cameroun,Cameroun,Douala,723,5.18
Cameroun,Cameroun,Bafoussam,580,4.16
Cameroun,Cameroun,Kribi,519,3.72
Cameroun,Cameroun,Yaoundé (ekoumdoum),414,2.97
Cameroun,Cameroun,Ngousso,412,2.95
Cameroun,Cameroun,Maroua,283,2.03
Cameroun,Cameroun,Garoua,210,1.5
International,Congo,Bouenza,180,1.29
Cameroun,Cameroun,Bamenda,126,0.9
Cameroun,Cameroun,Buéa,101,0.72
International,Congo,Kouilou,52,0.37
International,Cameroun,International non localisée,40,0.29
International,États-Unis,États-Unis (ville non précisée),36,0.26
Cameroun,Cameroun,Poli,31,0.22
Cameroun,Cameroun,Bertoua,30,0.21
International,Congo,Nkayi,30,0.21
Cameroun,Cameroun,Douala - Yaoundé,28,0.2
International,Congo,Ouesso,23,0.16
International,Congo,Kayes,20,0.14
Cameroun,Cameroun,Yaoundé - International,20,0.14
Cameroun,Cameroun,Kousseri,14,0.1
Cameroun,Cameroun,Bafang,11,0.08
International,États-Unis,Houston,10,0.07
International,États-Unis,New York,9,0.06
International,États-Unis,New York City Metropolitan Area,8,0.06
International,États-Unis,Austin,8,0.06
Cameroun,Cameroun,Mambele,8,0.06
Cameroun,Cameroun,Batouri,8,0.06
Cameroun,Cameroun,Adamaoua,8,0.06
International,États-Unis,Phoenix,6,0.04
Cameroun,Cameroun,Ebolowa,6,0.04
Cameroun,Cameroun,Yokadouma,6,0.04
International,États-Unis,Chicago,6,0.04
International,États-Unis,Blue Bell,6,0.04
International,États-Unis,Falconer,5,0.04
Cameroun,Cameroun,Bafoussam - Douala - Yaoundé,5,0.04
International,États-Unis,Hanover,5,0.04
International,Congo,Lkouala,5,0.04
International,États-Unis,Las Vegas,5,0.04
Cameroun,Cameroun,Campo,5,0.04
International,Congo,Mayoko,4,0.03
International,États-Unis,Seattle,4,0.03
International,États-Unis,Los Angeles Metropolitan Area,4,0.03
Cameroun,Cameroun,Douala - International,4,0.03
International,États-Unis,Portland,4,0.03
Cameroun,Cameroun,Ndokoa,4,0.03
Cameroun,Cameroun,Douala (akwa),4,0.03
Cameroun,Cameroun,Ngaoundéré,4,0.03
International,États-Unis,Boston,4,0.03
International,États-Unis,Dexter,4,0.03
International,États-Unis,California,4,0.03
International,États-Unis,Sumter,4,0.03
International,États-Unis,Ladson,3,0.02
International,Congo,Impfondo,3,0.02
International,États-Unis,Cincinnati,3,0.02
International,États-Unis,Columbus,3,0.02
International,États-Unis,Irvine,3,0.02
International,États-Unis,Muskegon,3,0.02
International,Congo,Divenie,3,0.02
International,Congo,Bouansa,3,0.02
International,États-Unis,San Francisco,3,0.02
Cameroun,Cameroun,Faro,3,0.02
International,États-Unis,Plano,3,0.02
International,États-Unis,Minneapolis,3,0.02
International,États-Unis,Washington,2,0.01
International,États-Unis,Joliet,2,0.01
International,États-Unis,Los Angeles,2,0.01
Cameroun,Cameroun,Foumban,2,0.01
International,Congo,Dolisie,2,0.01
International,États-Unis,Indianapolis,2,0.01
International,États-Unis,Milwaukee,2,0.01
Cameroun,Cameroun,Nomayos,2,0.01
International,États-Unis,Pennsylvania,2,0.01
Cameroun,Cameroun,Banganté,2,0.01
International,États-Unis,Plymouth,2,0.01
Cameroun,Cameroun,Bangangté,2,0.01
International,États-Unis,Orlando,2,0.01
International,Congo,Boundji,2,0.01
International,Congo,Owando,2,0.01
International,Congo,Oyo,2,0.01
International,États-Unis,East Orange,2,0.01
International,États-Unis,Golden,2,0.01
International,États-Unis,Greater Sacramento,2,0.01
International,États-Unis,Lansdale,2,0.01
International,États-Unis,Birmingham,2,0.01
International,États-Unis,Arlington,2,0.01
International,États-Unis,Cambridge,2,0.01
International,États-Unis,Anaheim,2,0.01
International,États-Unis,Dallas,2,0.01
International,États-Unis,Aurora,2,0.01
International,États-Unis,Atlanta,2,0.01
International,États-Unis,Danville,2,0.01
International,États-Unis,Dallas-Fort Worth Metroplex,2,0.01
International,États-Unis,San Francisco Bay Area,2,0.01
International,États-Unis,Santa Barbara,2,0.01
