competence,n,part_offres_pct
Finance,924,6.62
Commerce,834,5.98
Vente,663,4.75
Marketing,635,4.55
Informatique,629,4.51
Distribution,603,4.32
Commerce De Gros,587,4.21
Commerce De Détail,581,4.16
Administration,554,3.97
Banque,551,3.95
Assurance,541,3.88
Communication,538,3.85
Comptabilité,509,3.65
Santé,462,3.31
Transport,432,3.1
ONG,424,3.04
Gestion,378,2.71
TIC,346,2.48
Télécommunications,346,2.48
Economie,344,2.46
Marketing & Distribution,343,2.46
Pétrole,341,2.44
Autre,338,2.42
Logistique,333,2.39
Gaz & Hydrocarbures,328,2.35
